date,mean,median,std,low_50,high_50,low_80,high_80,low_95,high_95,type
2020-03-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,estimate
2020-03-07,0.7167154631717131,0.6718210875988007,0.3497537596604041,0.44932740926742554,0.9392410516738892,0.2956163078546524,1.1979922890663146,0.1817628636956215,1.4903172612190245,estimate
2020-03-08,0.9668017882145942,0.9099063277244568,0.40968180416867267,0.6673531085252762,1.208979845046997,0.48977290391922,1.5142655134201053,0.32689625546336176,1.9312783092260342,estimate
2020-03-09,1.2434349509999156,1.164180338382721,0.4959935654949938,0.875086709856987,1.538825511932373,0.6784529983997345,1.9213510751724243,0.4840994857251644,2.3677334129810323,estimate
2020-03-10,1.5978349629491568,1.5063967108726501,0.5964944892742721,1.1627870500087738,1.9535980224609375,0.9151272654533387,2.39798059463501,0.6676180079579354,2.9787137567996975,estimate
2020-03-11,2.0771423540115355,1.9616685509681702,0.7290556699651445,1.5293461382389069,2.5008469223976135,1.2375495672225951,3.0994566679000854,0.9757799103856086,3.7151215255260466,estimate
2020-03-12,2.702130090504885,2.552564024925232,0.8970704800073356,2.056429386138916,3.2235435247421265,1.6880919694900514,3.90773549079895,1.3146691024303436,4.738492345809935,estimate
2020-03-13,3.51981524515152,3.388765573501587,1.1000555573184507,2.719823479652405,4.1573874950408936,2.2368051767349244,4.949626445770264,1.7581465363502502,6.085811090469356,estimate
2020-03-14,4.522366002798081,4.3418121337890625,1.3471725382184616,3.584215998649597,5.298665165901184,2.947076344490051,6.303621435165406,2.3527507424354552,7.442582559585564,estimate
2020-03-15,5.730405659973622,5.540375709533691,1.6158669049907868,4.614524245262146,6.6624674797058105,3.8319655895233153,7.829078149795533,3.1019095957279204,9.424045181274412,estimate
2020-03-16,7.092763667106628,6.861027002334595,1.9442027237766295,5.751014351844788,8.151903867721558,4.788026189804077,9.623726940155029,3.9961261451244354,11.512846231460571,estimate
2020-03-17,8.632701298713684,8.377687931060791,2.2758841852614937,7.115047931671143,9.89447832107544,5.911660766601562,11.582135391235354,4.803512227535247,13.960607600212095,estimate
2020-03-18,10.357110012173653,9.962913036346436,2.727345531816854,8.439692735671997,11.948441743850708,7.195696640014648,13.96333932876587,5.978943908214569,16.45640292167663,estimate
2020-03-19,12.24249942803383,11.831838607788086,3.201604251662926,9.888229370117188,14.020996809005737,8.600825023651122,16.6105302810669,7.279117691516876,19.554186344146725,estimate
2020-03-20,14.460141556024551,13.960147380828857,3.7040245007713435,11.823601722717285,16.568209171295166,10.163858604431152,19.123180389404297,8.734372735023499,22.97504563331603,estimate
2020-03-21,16.910292233467104,16.404306411743164,4.205895518643358,13.825924396514893,19.36430263519287,11.980007553100586,22.48254451751709,10.13939905166626,26.36025552749633,estimate
2020-03-22,19.76462605190277,19.130528450012207,4.852546446761553,16.239266395568848,22.626397132873535,14.038585662841797,26.279619407653808,11.85291702747345,30.729019212722744,estimate
2020-03-23,22.66798734998703,22.061485290527344,5.550243999437086,18.62679100036621,26.18708086013794,16.172004890441894,29.93356227874756,13.554212284088136,35.07889137268066,estimate
2020-03-24,25.85712417936325,25.069985389709473,6.187914145239189,21.56056261062622,29.727030277252197,18.441109657287598,34.02837715148926,15.78791069984436,39.49145278930664,estimate
2020-03-25,29.48837931585312,28.587031364440918,7.083117167450886,24.614277839660645,33.56272888183594,21.338360595703122,38.88331336975098,18.05019016265869,45.79714069366455,estimate
2020-03-26,33.39507344770431,32.350067138671875,7.998264724537293,27.85444736480713,37.703006744384766,24.346285820007324,43.754645919799806,20.76834387779236,52.03660488128658,estimate
2020-03-27,37.845971917152404,36.33102798461914,9.047068579461628,31.593299865722656,43.01100254058838,27.691935539245605,50.229796218872075,23.9450722694397,58.910468101501465,estimate
2020-03-28,42.85996221446991,41.657447814941406,9.901060753637685,35.632110595703125,48.68627643585205,31.25533218383789,56.063171005249025,26.73700976371765,65.6209403991699,estimate
2020-03-29,48.07766928195954,46.62716293334961,10.995948236182047,40.13314151763916,54.88993835449219,35.4603946685791,62.22784538269043,30.513919973373415,72.52416362762449,estimate
2020-03-30,53.55871729373932,52.04091453552246,11.810839200141547,45.08538627624512,60.806830406188965,39.87293395996093,68.79374084472656,34.492828941345216,80.86668586730956,estimate
2020-03-31,58.33159233474731,56.64569854736328,12.634257692425921,49.22486972808838,65.85783958435059,43.835543441772465,75.1531135559082,38.3840069770813,87.3428665161132,estimate
2020-04-01,62.32113116264343,60.97344779968262,13.120056075089371,53.081435203552246,69.86362266540527,46.5711353302002,80.17527008056642,40.99799680709839,91.27232036590573,estimate
2020-04-02,64.5059431142807,63.439401626586914,13.065201356432988,54.96702480316162,72.7664852142334,48.374148559570315,81.33972473144532,41.69475946426392,94.28455333709711,estimate
2020-04-03,66.24594644451142,65.17952346801758,13.317080336102642,56.498135566711426,74.58768844604492,49.86479301452636,83.60356140136719,43.40093603134155,95.28278198242185,estimate
2020-04-04,67.35964597702026,65.99296188354492,13.409393779504496,58.032663345336914,75.59099769592285,51.33571319580078,84.90226974487305,44.686942195892335,96.38331775665279,estimate
2020-04-05,67.63462027931213,66.43083953857422,13.547416822031941,58.05438041687012,75.86379051208496,51.1281608581543,85.45984649658203,45.00887098312378,97.75611915588378,estimate
2020-04-06,67.67925564956666,66.51697158813477,13.078931262577846,58.23074531555176,75.66663551330566,51.67289505004883,84.65006637573244,45.49968118667603,96.64880332946777,estimate
2020-04-07,66.52508738327026,65.6656265258789,12.640058058561074,57.4335241317749,74.19182205200195,51.31123046875,83.1358497619629,44.55261163711548,94.76312885284425,estimate
