date,mean,median,std,low_50,high_50,low_80,high_80,low_95,high_95,type
2020-03-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,estimate
2020-03-07,0.07132638824003516,0.05436868593096733,0.06259120578422614,0.0274931900203228,0.0943705178797245,0.012488634325563908,0.15057892799377445,0.005753344588447362,0.24062968678772423,estimate
2020-03-08,0.07122319216188043,0.0563355628401041,0.05584772466908099,0.032021806575357914,0.09312636777758598,0.017958733811974523,0.1419061705470085,0.009664526232518256,0.22133405879139878,estimate
2020-03-09,0.07101515013049356,0.05834444239735603,0.050102452236443135,0.03637982625514269,0.09190770238637924,0.022347008436918257,0.13460401892662055,0.013728160597383975,0.20252043381333346,estimate
2020-03-10,0.07134746852563695,0.060516370460391045,0.045189874737477376,0.03983641602098942,0.09052264131605625,0.027203484810888766,0.12762543708086013,0.01748081939294934,0.1862794071435928,estimate
2020-03-11,0.07267571290768683,0.06424684077501297,0.04107656262465353,0.04397881403565407,0.0913865901529789,0.03163441345095634,0.12320552095770838,0.021727978298440576,0.17313844859600053,estimate
2020-03-12,0.0754116301103495,0.06762516871094704,0.03777660520427604,0.04895055294036865,0.09358775988221169,0.037239969894289966,0.12222805023193363,0.026294849626719952,0.1659431558102369,estimate
2020-03-13,0.08001207293756306,0.07336261495947838,0.035347632008568164,0.055411094799637794,0.09725730121135712,0.043799839168787,0.12519522309303288,0.032386751007288696,0.16302482113242142,estimate
2020-03-14,0.08703026571962982,0.0813109390437603,0.03390898310520899,0.06327215768396854,0.10389885492622852,0.05130406320095062,0.1308897823095322,0.039100571721792224,0.16777510270476326,estimate
2020-03-15,0.0971396703813225,0.09186246991157532,0.03365685973173847,0.0736529603600502,0.11487682163715363,0.060245638713240623,0.14042412489652636,0.04728156486526131,0.17707705534994597,estimate
2020-03-16,0.11116539322212339,0.10662872716784477,0.034860501861227175,0.08677761256694794,0.13061261549592018,0.07210934385657311,0.1548524856567383,0.058199462946504354,0.1929384957998989,estimate
2020-03-17,0.13013366715423763,0.12574196606874466,0.03782552012823301,0.10399227403104305,0.1514078453183174,0.08758075833320617,0.17912156134843826,0.07047333102673292,0.22065415345132344,estimate
2020-03-18,0.15532236585393547,0.14985360950231552,0.042834130401449094,0.12538272887468338,0.178929653018713,0.10657235234975815,0.2096036896109581,0.08741385191679,0.2594645328819751,estimate
2020-03-19,0.18835055918991567,0.18208304792642593,0.050087146042571806,0.1532120667397976,0.2170744612812996,0.13026662319898605,0.25162748098373416,0.10810256190598011,0.30874387696385386,estimate
2020-03-20,0.2312779863253236,0.22465763241052628,0.05975012828847247,0.18888157978653908,0.26601261645555496,0.16183436512947083,0.3065660655498505,0.13378466740250586,0.3683172240853309,estimate
2020-03-21,0.2866776643283665,0.27925974130630493,0.0719264146875602,0.2356674075126648,0.32897061109542847,0.2016414672136307,0.37941676080226905,0.1697668544948101,0.446509114652872,estimate
2020-03-22,0.3576953098028898,0.34904448688030243,0.0866272422923491,0.29743363708257675,0.41061224043369293,0.2543588519096374,0.46738286018371594,0.21711197979748248,0.5516472771763801,estimate
2020-03-23,0.44806181379407645,0.4371525049209595,0.10382489349664549,0.37395159900188446,0.511867105960846,0.32395481765270234,0.5792046546936036,0.27553367912769317,0.6763727784156799,estimate
2020-03-24,0.5618907683938742,0.5505807399749756,0.12349474821013365,0.4738309308886528,0.638543963432312,0.41574160456657405,0.7196208834648132,0.35257526487112045,0.8321053817868231,estimate
2020-03-25,0.7031330597400666,0.6914150714874268,0.14559460298233562,0.5980010479688644,0.7934637814760208,0.5254898011684418,0.8955383360385896,0.45584832355380056,1.0190798580646512,estimate
2020-03-26,0.8748895265460014,0.8600343465805054,0.16979126021396002,0.7532718181610107,0.9815016388893127,0.670264995098114,1.0993128061294555,0.586863535642624,1.244810804724693,estimate
2020-03-27,1.0788019198179244,1.061212182044983,0.1954243398621396,0.944280132651329,1.202528178691864,0.8464927792549133,1.336795473098755,0.7397169172763824,1.5046878397464751,estimate
2020-03-28,1.3142918964922428,1.293952465057373,0.22155364868074126,1.1608640849590302,1.4529123902320862,1.048404371738434,1.6068106651306153,0.9175967574119568,1.7860136598348617,estimate
2020-03-29,1.5780812013149261,1.5571008324623108,0.24717970686497667,1.408552646636963,1.7359745502471924,1.2737165927886962,1.9050177216529847,1.1395952075719833,2.102081435918808,estimate
2020-03-30,1.8640482721328735,1.8441821932792664,0.2714195731669383,1.6761524379253387,2.039211392402649,1.5246790170669557,2.2220755338668825,1.396445658802986,2.4531160175800326,estimate
2020-03-31,2.163443164587021,2.144739270210266,0.29362598750893565,1.9613564014434814,2.3477543592453003,1.7920193910598754,2.5590587139129637,1.6563500136137008,2.7897506713867184,estimate
2020-04-01,2.4654748774170874,2.449352502822876,0.3135035295287037,2.248667299747467,2.6646918058395386,2.0656306743621826,2.876297116279602,1.9138881117105484,3.130361938476562,estimate
2020-04-02,2.7588405054807663,2.7487303018569946,0.33083326565791554,2.531494438648224,2.972052037715912,2.3469919204711913,3.1863544940948487,2.1658533811569214,3.454930192232132,estimate
2020-04-03,3.0334516261816025,3.0143321752548218,0.34539727286607996,2.7944260239601135,3.249316096305847,2.5976605653762816,3.4847556591033935,2.4065593361854556,3.780282545089721,estimate
2020-04-04,3.2810732033252714,3.2628514766693115,0.3571608915302952,3.034156620502472,3.5123348236083984,2.8282984256744386,3.7406194686889647,2.6233270049095156,4.026020193099975,estimate
