date,mean,median,std,low_50,high_50,low_80,high_80,low_95,high_95,type
2020-03-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,estimate
2020-03-07,0.7609001040644944,0.7063695192337036,0.35985311087462807,0.48728489875793457,0.9824464917182922,0.33860611319541933,1.2672519326210023,0.2060016468167305,1.5680977433919898,estimate
2020-03-08,0.9598797441124917,0.9041508734226227,0.3797820514380973,0.6888478547334671,1.2012885510921478,0.5196270406246185,1.4515511393547058,0.347688040882349,1.8240309029817567,estimate
2020-03-09,1.1865559824630618,1.1374287009239197,0.43909090590841954,0.8898412883281708,1.4428699910640717,0.6553429663181305,1.7594690084457403,0.49467145204544066,2.1375178337097163,estimate
2020-03-10,1.4852723702788353,1.421871840953827,0.5164441349186827,1.1211025416851044,1.7831549048423767,0.8816050291061401,2.162092971801758,0.6621026426553726,2.677987319231033,estimate
2020-03-11,1.8876458874940871,1.821506381034851,0.6249441111318805,1.4316164553165436,2.25458687543869,1.1640666604042054,2.728389596939087,0.883656345307827,3.3352455377578725,estimate
2020-03-12,2.4122287691831588,2.3301262855529785,0.7447612901936342,1.8568643629550934,2.87709504365921,1.530169928073883,3.428344106674195,1.202830332517624,4.027546513080591,estimate
2020-03-13,3.055878552407026,2.9439669847488403,0.8957000113751655,2.397474527359009,3.6184511184692383,1.9949309110641478,4.227729320526123,1.6104987889528275,5.034749221801756,estimate
2020-03-14,3.8760910380482674,3.7483116388320923,1.0939002761665297,3.078516662120819,4.553414463996887,2.577237319946289,5.325492906570434,2.097755181789398,6.146551883220668,estimate
2020-03-15,4.851699674010277,4.7267982959747314,1.300391523771362,3.8954805731773376,5.633380055427551,3.2945019721984865,6.576095104217529,2.744063860177994,7.7100056171417215,estimate
2020-03-16,5.986773886203766,5.807638168334961,1.565689882385621,4.914092779159546,6.866089582443237,4.167763519287109,8.00435209274292,3.413632917404175,9.631565952301024,estimate
2020-03-17,7.286557135939598,7.068921089172363,1.868358301503361,5.951897978782654,8.402290344238281,5.051206111907959,9.60802974700928,4.284390950202941,11.737044596672055,estimate
2020-03-18,8.772688978075982,8.516091346740723,2.219358095959556,7.192989349365234,10.041196584701538,6.131486129760742,11.678130626678467,5.21833565235138,13.69404363632202,estimate
2020-03-19,10.520831834316253,10.203739166259766,2.597098547494746,8.624194383621216,12.0644690990448,7.515054321289062,14.037349224090578,6.334690010547638,16.518876695632933,estimate
2020-03-20,12.631660886287689,12.277035236358643,3.065663378895664,10.447921991348267,14.467082500457764,8.99793291091919,16.763416099548344,7.830541098117828,19.71831579208374,estimate
2020-03-21,15.178527864933013,14.712103366851807,3.540213375363671,12.654020309448242,17.342538833618164,11.02699384689331,19.911000061035157,9.519505333900453,22.930329513549804,estimate
2020-03-22,18.12816440486908,17.72389030456543,4.1542058138062385,15.126293420791626,20.644424438476562,13.17822036743164,23.44871234893799,11.282953333854676,27.39470734596252,estimate
2020-03-23,21.411917876720427,21.087867736816406,4.678475403608141,18.014817714691162,24.309603691101074,15.774881267547608,27.636675453186037,13.64819848537445,31.57691907882688,estimate
2020-03-24,24.994859107494353,24.283595085144043,5.636030762413999,21.031887531280518,28.424506664276123,18.20471534729004,32.53557853698731,15.950135469436646,37.64649629592894,estimate
2020-03-25,29.130381338119506,28.549986839294434,6.647502893733832,24.505666255950928,32.836591720581055,21.354142570495608,38.08544235229492,17.857916355133057,44.63927879333495,estimate
2020-03-26,33.41634318780899,32.477521896362305,7.629694285618262,28.166349411010742,37.815402030944824,24.42755889892578,43.71279640197754,20.90488176345825,50.0951692581176,estimate
2020-03-27,38.30213330078125,37.385725021362305,8.774363886738055,32.06814384460449,43.40711975097656,28.062106895446778,49.73007164001465,23.63929181098938,58.33108615875243,estimate
2020-03-28,43.464689070701596,42.54661178588867,9.843749721502338,36.52095127105713,49.166449546813965,31.796671867370605,56.14917755126953,27.214409255981444,65.59058380126952,estimate
2020-03-29,48.736961985588074,47.774715423583984,10.655199172818898,41.405680656433105,55.04743671417236,35.870082473754884,62.627986145019534,30.80974793434143,72.7484390258789,estimate
2020-03-30,54.13057385730743,53.20834732055664,11.484216161424444,45.741607666015625,61.34397602081299,40.355902862548824,68.89511642456054,34.92735052108765,79.48537883758543,estimate
2020-03-31,58.72420760154724,57.69377899169922,12.163522763999044,50.257412910461426,66.24589347839355,43.82375526428223,75.20614471435547,37.75836229324341,85.04931335449218,estimate
2020-04-01,62.76826891899109,61.666236877441406,12.626164448739699,54.075904846191406,70.28738403320312,47.70249977111817,79.61195144653321,41.0696234703064,90.87418975830077,estimate
2020-04-02,65.27442723464966,64.37158966064453,12.877546902380574,55.889798164367676,73.1770191192627,49.49196434020996,82.15608978271486,43.38293399810791,93.52494621276855,estimate
2020-04-03,67.35310787963867,66.23297119140625,13.375336301058562,57.76619911193848,75.56660652160645,51.319661712646486,84.83875274658205,44.55986223220825,96.32874584197997,estimate
2020-04-04,68.35716423034668,67.1617317199707,13.458223295434257,58.72894096374512,76.07951927185059,52.14969062805176,86.19425582885742,45.10174512863159,98.56351928710934,estimate
2020-04-05,68.87825465774536,67.86142349243164,13.034265821813598,59.59701442718506,77.35697174072266,52.90240669250488,85.74029541015625,46.09466791152954,95.97658729553221,estimate
2020-04-06,69.00065678787232,68.04943466186523,12.63993255392424,60.34691524505615,76.77642250061035,53.31261291503906,85.59526824951172,45.98929309844971,97.11144504547117,estimate
2020-04-07,68.11126718902588,67.20429229736328,12.633396207515599,59.23637676239014,76.19134712219238,52.517509841918944,84.92715377807617,45.40795106887818,95.07734050750729,estimate
